,League,Player,Team,age,captain,current_value,date_mined_social,ig_confidence,ig_followers,ig_posts,ig_verified,position,primary_nationality,secondary_nationality,tw_confidence,tw_created,tw_followers,tw_statuses,tw_verified,max_reach,activity,reach,PFI
0,SPL,Allan McGregor,Rangers FC,"Jan 31, 1982 (39)",0,450000,07/12/2021 13:38,1.0,106099.0,51.0,True,Goalkeeper,Scotland,Null,1.0,2011-12-09 19:19:37+00:00,71675.0,777.0,True,106099.0,777.0,106099.0,235.77555555555554
1,SPL,Robby McCrorie,Rangers FC,"Mar 18, 1998 (23)",0,360000,07/12/2021 13:38,1.0,25874.0,64.0,True,Goalkeeper,Scotland,Null,0.5,2014-04-10 17:45:52+00:00,21379.0,2191.0,False,25874.0,2191.0,25874.0,71.87222222222222
2,SPL,Jon McLaughlin,Rangers FC,"Sep 9, 1987 (34)",0,315000,07/12/2021 13:38,0.0,0.0,0.0,,Goalkeeper,Scotland,Null,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0
3,SPL,Andy Firth,Rangers FC,"Sep 26, 1996 (25)",0,45000,07/12/2021 13:38,1.0,35027.0,466.0,True,Goalkeeper,England,Null,1.0,2013-03-16 15:45:02+00:00,15811.0,3723.0,True,35027.0,3723.0,35027.0,778.3777777777777
4,SPL,Connor Goldson,Rangers FC,"Dec 18, 1992 (28)",0,6750000,07/12/2021 13:38,1.0,107873.0,65.0,True,Centre-Back,England,Null,0.0,,0.0,0.0,,107873.0,65.0,107873.0,15.981185185185184
5,SPL,Filip Helander,Rangers FC,"Apr 22, 1993 (28)",0,3150000,07/12/2021 13:38,1.0,53681.0,64.0,True,Centre-Back,Sweden,Null,0.0,,0.0,0.0,,53681.0,64.0,53681.0,17.041587301587303
6,SPL,Jack Simpson,Rangers FC,"Dec 18, 1996 (24)",0,900000,07/12/2021 13:38,1.0,19613.0,25.0,True,Centre-Back,England,Null,0.0,,0.0,0.0,,19613.0,25.0,19613.0,21.79222222222222
7,SPL,Leon Balogun,Rangers FC,"Jun 28, 1988 (33)",0,720000,07/12/2021 13:38,1.0,120163.0,861.0,True,Centre-Back,Nigeria,Germany,1.0,2013-11-22 23:17:58+00:00,179540.0,2029.0,True,179540.0,2029.0,179540.0,249.36111111111111
8,SPL,Borna Barisic,Rangers FC,"Nov 10, 1992 (29)",0,5400000,07/12/2021 13:38,1.0,119595.0,180.0,True,Left-Back,Croatia,Null,0.0,,0.0,0.0,,119595.0,180.0,119595.0,22.147222222222222
9,SPL,Calvin Bassey,Rangers FC,"Dec 31, 1999 (21)",0,360000,07/12/2021 13:38,1.0,59867.0,9.0,True,Left-Back,Nigeria,England,1.0,2020-06-07 01:44:31+00:00,35311.0,118.0,False,59867.0,118.0,59867.0,166.29722222222222
10,SPL,James Tavernier,Rangers FC,"Oct 31, 1991 (30)",1,7200000,07/12/2021 13:38,1.0,180927.0,578.0,True,Right-Back,England,Null,1.0,2012-03-13 21:39:49+00:00,228814.0,1852.0,True,228814.0,1852.0,228814.0,31.779722222222222
11,SPL,Nathan Patterson,Rangers FC,"Oct 16, 2001 (20)",0,1170000,07/12/2021 13:38,1.0,93728.0,53.0,True,Right-Back,Scotland,Null,1.0,2018-12-12 10:47:16+00:00,19076.0,38.0,False,93728.0,53.0,93728.0,80.10940170940171
12,SPL,John Lundstram,Rangers FC,"Feb 18, 1994 (27)",0,6300000,07/12/2021 13:38,1.0,37450.0,77.0,True,Central Midfield,England,Null,0.5,2021-07-18 12:08:22+00:00,3.0,4.0,False,37450.0,77.0,37450.0,5.944444444444445
13,SPL,Joe Aribo,Rangers FC,"Jul 21, 1996 (25)",0,5850000,07/12/2021 13:38,1.0,126891.0,139.0,True,Central Midfield,Nigeria,England,1.0,2015-08-24 18:30:49+00:00,75901.0,1994.0,True,126891.0,1994.0,126891.0,21.69076923076923
14,SPL,Glen Kamara,Rangers FC,"Oct 28, 1995 (26)",0,5400000,07/12/2021 13:38,1.0,111066.0,28.0,True,Central Midfield,Finland,Sierra Leone,1.0,2011-06-01 23:10:18+00:00,66925.0,373.0,True,111066.0,373.0,111066.0,20.567777777777778
